customer_no,total_enq_amt_x,total_enq_amt_y
416,2672301,15
417,1562000,33
418,3676276,36
419,152501,7
420,225301,7
421,1651100,23
422,102190740,51
423,3458000,22
424,974000,5
425,3885675,35
426,62000,4
427,104000,3
428,2351000,4
429,1933470,23
430,2329378,15
431,9627000,19
432,423350,14
433,3165374,35
434,12642000,16
435,713600,10
436,2933100,6
437,151000,4
438,100202000,8
439,109802,2
440,3631000,17
441,4150000,9
442,2051000,10
443,1789510,26
444,156000,8
445,0,0
446,113272100,37
447,2052000,16
448,978000,10
449,3189700,21
450,3679990,28
451,1373000,25
452,135000,2
453,2200991,24
454,1011000,10
455,3163404,19
456,3599610,17
457,115300,11
458,327000,8
459,142000,6
460,11469000,20
461,3828504,50
462,946600,22
463,5855103,30
464,164000,8
465,317001,11
466,98000,8
467,311000,9
468,6151000,24
469,53000,4
470,39917126,23
471,2808218,19
472,4426572,42
473,2306400,33
474,1478000,22
475,266000,7
476,15000,1
477,1772200,24
478,4418001,35
479,292000,4
480,4140000,13
481,151000,3
482,5801000,10
483,949000,12
484,1079000,12
485,104278500,27
486,75000,2
487,2510000,37
488,193000,5
489,45300,7
490,5901000,7
491,4539200,26
492,12670302,52
493,2134000,32
494,2820000,11
495,310000,5
496,14586002,43
497,520000,9
498,1373000,11
499,4421184,27
500,20133101,36
501,625000,5
502,6643000,41
503,101000,3
504,36890003,51
505,2058006,51
506,409001,13
507,758000,13
508,5710000,12
509,1003200,22
510,483000,18
511,2646000,20
512,538900,6
513,72000,5
514,151000,3
515,1821000,14
516,1187100,15
517,1774560,25
518,233000,8
519,1616150,11
520,166000,5
521,548370,18
522,1000,1
523,115003,3
524,3309150,25
525,178000,3
526,2751000,14
527,2894976,31
528,854330,17
529,51000,2
530,9984485,23
531,3068000,15
532,250001,6
533,812000,15
534,308000,14
535,482100,11
536,951000,6
537,829800,11
538,187000,7
539,27746611,57
540,2234500,8
541,7388063,31
542,836102,14
543,10156000,27
544,6832240,29
545,1721000,12
546,3879950,24
547,1471000,13
548,1280000,6
549,1239000,14
550,8984801,36
551,1070000,17
552,353000,11
553,526000,8
554,5211002,64
555,5115850,24
556,428100,9
557,1733000,14
558,3941100,19
559,805000,9
560,3320100,14
561,4019100,27
562,3521200,21
563,2672001,13
564,106790011,38
565,507001,11
566,38875300,22
567,2408000,21
568,53000,4
569,2144450,26
570,2222504,47
571,1804620,15
572,201000,3
573,1868000,14
574,6967002,46
575,2850000,2
576,2096000,19
577,351100,10
578,96000,5
579,80000,2
580,2806081,42
581,1361000,21
582,4259000,15
583,6400100,4
584,1256893,25
585,1930711,18
586,564000,12
587,597000,7
588,888000,17
589,211000,7
590,132000,7
591,756003,18
592,1482320,31
593,1236000,20
594,243500,7
595,296250,11
596,108000,6
597,719000,10
598,14821980,44
599,1772000,24
600,828000,17
601,801000,24
602,1006000,12
603,187000,7
604,5383583,37
605,3940002,36
606,1766001,7
607,1780000,15
608,1000,1
609,3681300,33
610,2306501,17
611,3343906,20
612,9244002,34
613,557000,14
614,15221000,11
615,642000,16
616,5711001,42
617,803000,15
618,12099100,33
619,2494000,33
620,106496579,16
621,801000,7
622,96000,6
623,7606601,27
624,487000,7
625,5200000,18
626,588391,10
627,13802000,24
628,237010,8
629,1011000,17
630,1629000,13
631,870000,14
632,237291,6
633,3197002,17
634,1074000,12
635,62000,4
636,5296500,76
637,3476000,31
638,6600000,20
639,111795002,38
640,9205010,22
641,682301,20
642,497000,17
643,383528,10
644,1488002,13
645,152004,13
646,6999302,74
647,4554300,17
648,4566000,10
649,296000,7
650,946000,10
651,5097203,55
652,1026500,12
653,453000,11
654,2856000,10
655,867300,19
656,2878677,27
657,6178000,28
658,118339104,90
659,1918650,31
660,9244100,21
661,95000,4
662,853000,8
663,1912000,5
664,5247000,16
665,1906101,22
666,7298500,15
667,477000,10
668,120052000,9
669,2655200,14
670,898000,10
671,3290000,21
672,800000,4
673,0,0
674,553000,5
675,2742000,24
676,384000,14
677,512000,10
678,285000,5
679,203324100,66
680,1145990,24
681,1451000,24
682,341000,8
683,301000,10
684,1204000,21
685,14960273,51
686,1556000,5
687,3704501,47
688,271150,13
689,3060004,46
690,20836001,31
691,4526000,27
692,1952010,11
693,512000,14
694,1055710,11
695,487000,12
696,671450,8
697,444586,16
698,1289801,16
699,571550,11
700,1293667,8
701,11047470,38
702,2788288,26
703,0,0
704,5722201,10
705,220000,5
706,18895549,57
707,100575100,16
708,175000,3
709,113681000,31
710,206000,8
711,462000,7
712,272000,10
713,9471003,45
714,888501,9
715,1575600,43
716,10617706,61
717,1266250,25
718,2724805,26
719,1547001,16
720,931000,9
721,587001,16
722,385000,6
723,1718000,23
724,2423101,32
725,1258856,9
726,422000,11
727,600101,13
728,469000,11
729,7001000,5
730,10010000,5
731,8259001,39
732,288000,6
733,2772000,9
734,337000,14
735,17557201,34
736,1571100,6
737,2766500,24
738,24472000,14
739,3680600,7
740,547500,9
741,5111000,4
742,776000,15
743,165003,7
744,4167011,18
745,1395000,18
746,34252122,33
747,100232000,12
748,401000,6
749,3903901,44
750,217718081,51
751,845902,12
752,3496000,14
753,327000,13
754,1005900,30
755,2112999,25
756,3756400,33
757,3058000,23
758,452500,5
759,26784102,40
760,141000,7
761,2471000,7
762,9304950,27
763,1398100,27
764,3039000,12
765,1518000,22
766,61000,3
767,549000,15
768,4212003,26
769,2404400,20
770,268900,12
771,7554620,9
772,101000,7
773,653820,7
774,2622000,18
775,42404084,35
776,3252000,6
777,375310,7
778,161000,5
779,99000,9
780,100252000,10
781,23055500,27
782,1398000,15
783,351000,5
784,2380076,21
785,163685,4
786,32092827,60
787,100998990,8
788,1690000,6
789,16220000,34
790,2123000,21
791,3669900,33
792,5907094,31
793,2842000,15
794,2534646,25
795,4224004,16
796,103809010,34
797,538024,11
798,7110150,27
799,2006054,28
800,1782500,17
801,876100,14
802,64704100,58
803,661000,5
804,1347802,28
805,0,0
806,801000,2
807,1091000,13
808,216000,5
809,562200,11
810,5536000,13
811,152000,4
812,1654600,17
813,382000,10
814,4311401,41
815,2197725,18
816,511000,15
817,3221150,30
818,176000,5
819,151000,4
820,746000,5
821,161000,8
822,693200,20
823,2812001,27
824,377000,12
825,2173000,17
826,1970500,10
